name,birthday,nationality
Wagner Moura,1976-06-27,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Sônia Braga,1950-06-08,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Caio Blat,1980-06-02,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Camila Pitanga,1977-06-14,BRAZIL
Débora Falabella,1979-02-22,BRAZIL
Morgan Freeman,1937-06-01,USA
Leonardo DiCaprio,1974-11-11,USA
Brad Pitt,1963-12-18,USA
Meryl Streep,1949-06-22,USA
Tom Hanks,1956-07-09,USA
Robert Downey Jr.,1965-04-04,USA
Scarlett Johansson,1984-11-22,USA
Natalie Portman,1981-06-09,USA
Chris Evans,1981-06-13,USA
Viola Davis,1965-08-11,USA
Matthew McConaughey,1969-11-04,USA
Charlize Theron,1975-08-07,USA
Christian Bale,1974-01-30,USA
Julia Roberts,1967-10-28,USA
Will Smith,1968-09-25,USA
Al Pacino,1940-04-25,USA
Denzel Washington,1954-12-28,USA
Johnny Depp,1963-06-09,USA
Samuel L. Jackson,1948-12-21,USA
Harrison Ford,1942-07-13,USA
Gal Gadot,1985-04-30,USA
Jennifer Lawrence,1990-08-15,USA
Chris Hemsworth,1983-08-11,USA
Anne Hathaway,1982-11-12,USA
Dwayne Johnson,1972-05-02,USA
Nicole Kidman,1967-06-20,USA
Ryan Reynolds,1976-10-23,USA
Margot Robbie,1990-07-02,USA
Joaquin Phoenix,1974-10-28,USA
Keanu Reeves,1964-09-02,USA
Zoe Saldana,1978-06-19,USA
Jake Gyllenhaal,1980-12-19,USA
Mark Ruffalo,1967-11-22,USA
Emma Stone,1988-11-06,USA
Amy Adams,1974-08-20,USA
Rami Malek,1981-05-12,USA
Tessa Thompson,1983-10-03,USA
Zendaya,1996-09-01,USA
Brie Larson,1989-10-01,USA
